gene_id	symbol	name	cytoband	type	num_cohort_ssm_affected_cases	num_cohort_ssm_cases	cohort_ssm_affected_cases_percentage	num_gdc_ssm_affected_cases	num_gdc_ssm_cases	gdc_ssm_affected_cases_percentage	num_cohort_cnv_cases	num_cohort_cnv_gain_cases	cohort_cnv_gain_cases_percentage	num_cohort_cnv_loss_cases	cohort_cnv_loss_cases_percentage	num_mutations	annotations
ENSG00000109685	NSD2	nuclear receptor binding SET domain protein 2	4p16.3	protein_coding	10	1131	0.88	389	16508	2.36	1342	45	3.35	97	7.23	13	Cancer Gene Census
ENSG00000122512	PMS2	PMS1 homolog 2, mismatch repair system component	7p22.1	protein_coding	10	1131	0.88	222	16508	1.34	1342	707	52.68	16	1.19	12	Cancer Gene Census
ENSG00000125952	MAX	MYC associated factor X	14q23.3	protein_coding	10	1131	0.88	142	16508	0.86	1342	14	1.04	320	23.85	8	Cancer Gene Census
ENSG00000126012	KDM5C	lysine demethylase 5C	Xp11.22	protein_coding	10	1131	0.88	387	16508	2.34	1342	0	0.00	0	0.00	14	Cancer Gene Census
ENSG00000129514	FOXA1	forkhead box A1	14q21.1	protein_coding	10	1131	0.88	209	16508	1.27	1342	16	1.19	270	20.12	10	Cancer Gene Census
ENSG00000129993	CBFA2T3	CBFA2/RUNX1 partner transcriptional co-repressor 3	16q24.3	protein_coding	10	1131	0.88	169	16508	1.02	1342	26	1.94	129	9.61	10	Cancer Gene Census
ENSG00000130396	AFDN	afadin, adherens junction formation factor	6q27	protein_coding	10	1131	0.88	419	16508	2.54	1342	14	1.04	254	18.93	13	Cancer Gene Census
ENSG00000130779	CLIP1	CAP-Gly domain containing linker protein 1	12q24.31	protein_coding	10	1131	0.88	266	16508	1.61	1342	65	4.84	65	4.84	15	Cancer Gene Census
ENSG00000137265	IRF4	interferon regulatory factor 4	6p25.3	protein_coding	10	1131	0.88	208	16508	1.26	1342	13	0.97	55	4.10	10	Cancer Gene Census
ENSG00000137497	NUMA1	nuclear mitotic apparatus protein 1	11q13.4	protein_coding	10	1131	0.88	358	16508	2.17	1342	49	3.65	84	6.26	14	Cancer Gene Census
ENSG00000138336	TET1	tet methylcytosine dioxygenase 1	10q21.3	protein_coding	10	1131	0.88	452	16508	2.74	1342	6	0.45	763	56.86	12	Cancer Gene Census
ENSG00000147548	NSD3	nuclear receptor binding SET domain protein 3	8p11.23	protein_coding	10	1131	0.88	297	16508	1.80	1342	58	4.32	70	5.22	17	Cancer Gene Census
ENSG00000166501	PRKCB	protein kinase C beta	16p12.2, 16p12.1	protein_coding	10	1131	0.88	348	16508	2.11	1342	26	1.94	100	7.45	11	Cancer Gene Census
ENSG00000170836	PPM1D	protein phosphatase, Mg2+/Mn2+ dependent 1D	17q23.2	protein_coding	10	1131	0.88	154	16508	0.93	1342	67	4.99	43	3.20	12	Cancer Gene Census
ENSG00000178104	PDE4DIP	phosphodiesterase 4D interacting protein	1q21.2	protein_coding	10	1131	0.88	436	16508	2.64	1342	81	6.04	62	4.62	19	Cancer Gene Census
ENSG00000178568	ERBB4	erb-b2 receptor tyrosine kinase 4	2q34	protein_coding	10	1131	0.88	673	16508	4.08	1342	32	2.38	44	3.28	12	Cancer Gene Census
ENSG00000179094	PER1	period circadian regulator 1	17p13.1	protein_coding	10	1131	0.88	243	16508	1.47	1342	20	1.49	102	7.60	12	Cancer Gene Census
ENSG00000179583	CIITA	class II major histocompatibility complex transactivator	16p13.13	protein_coding	10	1131	0.88	321	16508	1.94	1342	36	2.68	61	4.55	13	Cancer Gene Census
ENSG00000183742	MACC1	MET transcriptional regulator MACC1	7p21.1	protein_coding	10	1131	0.88	234	16508	1.42	1342	714	53.20	8	0.60	10	Cancer Gene Census
ENSG00000184507	NUTM1	NUT midline carcinoma family member 1	15q14	protein_coding	10	1131	0.88	311	16508	1.88	1342	16	1.19	215	16.02	14	Cancer Gene Census
ENSG00000184675	AMER1	APC membrane recruitment protein 1	Xq11.2	protein_coding	10	1131	0.88	431	16508	2.61	1342	0	0.00	0	0.00	14	Cancer Gene Census
ENSG00000196498	NCOR2	nuclear receptor corepressor 2	12q24.31	protein_coding	10	1131	0.88	514	16508	3.11	1342	63	4.69	67	4.99	16	Cancer Gene Census
ENSG00000213281	NRAS	NRAS proto-oncogene, GTPase	1p13.2	protein_coding	10	1131	0.88	840	16508	5.09	1342	60	4.47	214	15.95	6	Cancer Gene Census
ENSG00000012048	BRCA1	BRCA1 DNA repair associated	17q21.31	protein_coding	9	1131	0.80	367	16508	2.22	1342	41	3.06	70	5.22	13	Cancer Gene Census
ENSG00000029725	RABEP1	rabaptin, RAB GTPase binding effector protein 1	17p13.2	protein_coding	9	1131	0.80	149	16508	0.90	1342	19	1.42	96	7.15	12	Cancer Gene Census
ENSG00000065526	SPEN	spen family transcriptional repressor	1p36.21, 1p36.13	protein_coding	9	1131	0.80	629	16508	3.81	1342	64	4.77	254	18.93	18	Cancer Gene Census
ENSG00000079805	DNM2	dynamin 2	19p13.2	protein_coding	9	1131	0.80	286	16508	1.73	1342	320	23.85	27	2.01	13	Cancer Gene Census
ENSG00000091831	ESR1	estrogen receptor 1	6q25.1, 6q25.2	protein_coding	9	1131	0.80	228	16508	1.38	1342	13	0.97	240	17.88	8	Cancer Gene Census
ENSG00000096968	JAK2	Janus kinase 2	9p24.1	protein_coding	9	1131	0.80	291	16508	1.76	1342	41	3.06	432	32.19	11	Cancer Gene Census
ENSG00000100393	EP300	E1A binding protein p300	22q13.2	protein_coding	9	1131	0.80	567	16508	3.43	1342	26	1.94	299	22.28	15	Cancer Gene Census
ENSG00000103197	TSC2	TSC complex subunit 2	16p13.3	protein_coding	9	1131	0.80	389	16508	2.36	1342	41	3.06	76	5.66	11	Cancer Gene Census
ENSG00000104728	ARHGEF10	Rho guanine nucleotide exchange factor 10	8p23.3	protein_coding	9	1131	0.80	318	16508	1.93	1342	60	4.47	85	6.33	12	Cancer Gene Census
ENSG00000107485	GATA3	GATA binding protein 3	10p14	protein_coding	9	1131	0.80	386	16508	2.34	1342	82	6.11	706	52.61	12	Cancer Gene Census
ENSG00000107882	SUFU	SUFU negative regulator of hedgehog signaling	10q24.32	protein_coding	9	1131	0.80	127	16508	0.77	1342	5	0.37	791	58.94	10	Cancer Gene Census
ENSG00000110841	PPFIBP1	PPFIA binding protein 1	12p11.23, 12p11.22	protein_coding	9	1131	0.80	194	16508	1.18	1342	95	7.08	51	3.80	8	Cancer Gene Census
ENSG00000111679	PTPN6	protein tyrosine phosphatase non-receptor type 6	12p13.31	protein_coding	9	1131	0.80	153	16508	0.93	1342	125	9.31	50	3.73	9	Cancer Gene Census
ENSG00000113360	DROSHA	drosha ribonuclease III	5p13.3	protein_coding	9	1131	0.80	282	16508	1.71	1342	54	4.02	61	4.55	9	Cancer Gene Census
ENSG00000113721	PDGFRB	platelet derived growth factor receptor beta	5q32	protein_coding	9	1131	0.80	264	16508	1.60	1342	44	3.28	81	6.04	9	Cancer Gene Census
ENSG00000114423	CBLB	Cbl proto-oncogene B	3q13.11	protein_coding	9	1131	0.80	270	16508	1.64	1342	43	3.20	83	6.18	10	Cancer Gene Census
ENSG00000116731	PRDM2	PR/SET domain 2	1p36.21	protein_coding	9	1131	0.80	333	16508	2.02	1342	62	4.62	272	20.27	11	Cancer Gene Census
ENSG00000120457	KCNJ5	potassium inwardly rectifying channel subfamily J member 5	11q24.3	protein_coding	9	1131	0.80	160	16508	0.97	1342	76	5.66	80	5.96	11	Cancer Gene Census
ENSG00000128513	POT1	protection of telomeres 1	7q31.33	protein_coding	9	1131	0.80	208	16508	1.26	1342	787	58.64	7	0.52	11	Cancer Gene Census
ENSG00000135903	PAX3	paired box 3	2q36.1	protein_coding	9	1131	0.80	232	16508	1.41	1342	30	2.24	52	3.87	10	Cancer Gene Census
ENSG00000136167	LCP1	lymphocyte cytosolic protein 1	13q14.13	protein_coding	9	1131	0.80	163	16508	0.99	1342	11	0.82	380	28.32	11	Cancer Gene Census
ENSG00000137812	KNL1	kinetochore scaffold 1	15q15.1	protein_coding	9	1131	0.80	333	16508	2.02	1342	16	1.19	212	15.80	11	Cancer Gene Census
ENSG00000140937	CDH11	cadherin 11	16q21	protein_coding	9	1131	0.80	493	16508	2.99	1342	30	2.24	104	7.75	9	Cancer Gene Census
ENSG00000151702	FLI1	Fli-1 proto-oncogene, ETS transcription factor	11q24.3	protein_coding	9	1131	0.80	201	16508	1.22	1342	75	5.59	81	6.04	10	Cancer Gene Census
ENSG00000162733	DDR2	discoidin domain receptor tyrosine kinase 2	1q23.3	protein_coding	9	1131	0.80	269	16508	1.63	1342	96	7.15	15	1.12	11	Cancer Gene Census
ENSG00000163041	H3-3A	H3.3 histone A	1q42.12	protein_coding	9	1131	0.80	49	16508	0.30	1342	86	6.41	59	4.40	6	Cancer Gene Census
ENSG00000163629	PTPN13	protein tyrosine phosphatase non-receptor type 13	4q21.3	protein_coding	9	1131	0.80	445	16508	2.70	1342	23	1.71	116	8.64	13	Cancer Gene Census
ENSG00000173757	STAT5B	signal transducer and activator of transcription 5B	17q21.2	protein_coding	9	1131	0.80	206	16508	1.25	1342	38	2.83	73	5.44	6	Cancer Gene Census
ENSG00000175595	ERCC4	ERCC excision repair 4, endonuclease catalytic subunit	16p13.12	protein_coding	9	1131	0.80	198	16508	1.20	1342	32	2.38	62	4.62	9	Cancer Gene Census
ENSG00000177084	POLE	DNA polymerase epsilon, catalytic subunit	12q24.33	protein_coding	9	1131	0.80	492	16508	2.98	1342	31	2.31	46	3.43	25	Cancer Gene Census
ENSG00000015285	WAS	WASP actin nucleation promoting factor	Xp11.23	protein_coding	8	1131	0.71	150	16508	0.91	1342	0	0.00	0	0.00	8	Cancer Gene Census
ENSG00000049540	ELN	elastin	7q11.23	protein_coding	8	1131	0.71	238	16508	1.44	1342	739	55.07	8	0.60	9	Cancer Gene Census
ENSG00000079102	RUNX1T1	RUNX1 partner transcriptional co-repressor 1	8q21.3	protein_coding	8	1131	0.71	513	16508	3.11	1342	101	7.53	48	3.58	9	Cancer Gene Census
ENSG00000083093	PALB2	partner and localizer of BRCA2	16p12.2	protein_coding	8	1131	0.71	234	16508	1.42	1342	27	2.01	100	7.45	11	Cancer Gene Census
ENSG00000083168	KAT6A	lysine acetyltransferase 6A	8p11.21	protein_coding	8	1131	0.71	419	16508	2.54	1342	61	4.55	54	4.02	10	Cancer Gene Census
ENSG00000083799	CYLD	CYLD lysine 63 deubiquitinase	16q12.1	protein_coding	8	1131	0.71	242	16508	1.47	1342	30	2.24	104	7.75	11	Cancer Gene Census
ENSG00000100345	MYH9	myosin heavy chain 9	22q12.3	protein_coding	8	1131	0.71	484	16508	2.93	1342	26	1.94	282	21.01	12	Cancer Gene Census
ENSG00000100815	TRIP11	thyroid hormone receptor interactor 11	14q32.12	protein_coding	8	1131	0.71	315	16508	1.91	1342	16	1.19	292	21.76	12	Cancer Gene Census
ENSG00000104884	ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit	19q13.32	protein_coding	8	1131	0.71	196	16508	1.19	1342	216	16.10	327	24.37	8	Cancer Gene Census
ENSG00000109670	FBXW7	F-box and WD repeat domain containing 7	4q31.3	protein_coding	8	1131	0.71	657	16508	3.98	1342	21	1.56	151	11.25	8	Cancer Gene Census
ENSG00000116016	EPAS1	endothelial PAS domain protein 1	2p21	protein_coding	8	1131	0.71	212	16508	1.28	1342	34	2.53	41	3.06	11	Cancer Gene Census
ENSG00000118515	SGK1	serum/glucocorticoid regulated kinase 1	6q23.2	protein_coding	8	1131	0.71	213	16508	1.29	1342	12	0.89	247	18.41	9	Cancer Gene Census
ENSG00000122779	TRIM24	tripartite motif containing 24	7q33, 7q34	protein_coding	8	1131	0.71	236	16508	1.43	1342	795	59.24	11	0.82	8	Cancer Gene Census
ENSG00000126883	NUP214	nucleoporin 214	9q34.13	protein_coding	8	1131	0.71	360	16508	2.18	1342	93	6.93	115	8.57	9	Cancer Gene Census
ENSG00000127946	HIP1	huntingtin interacting protein 1	7q11.23	protein_coding	8	1131	0.71	227	16508	1.38	1342	748	55.74	8	0.60	10	Cancer Gene Census
ENSG00000131023	LATS1	large tumor suppressor kinase 1	6q25.1	protein_coding	8	1131	0.71	285	16508	1.73	1342	14	1.04	248	18.48	10	Cancer Gene Census
ENSG00000135679	MDM2	MDM2 proto-oncogene	12q15	protein_coding	8	1131	0.71	111	16508	0.67	1342	83	6.18	85	6.33	9	Cancer Gene Census
ENSG00000143322	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	1q25.2	protein_coding	8	1131	0.71	299	16508	1.81	1342	91	6.78	20	1.49	8	Cancer Gene Census
ENSG00000144218	AFF3	AF4/FMR2 family member 3	2q11.2	protein_coding	8	1131	0.71	443	16508	2.68	1342	30	2.24	32	2.38	9	Cancer Gene Census
ENSG00000147050	KDM6A	lysine demethylase 6A	Xp11.3	protein_coding	8	1131	0.71	472	16508	2.86	1342	0	0.00	0	0.00	9	Cancer Gene Census
ENSG00000148737	TCF7L2	transcription factor 7 like 2	10q25.2, 10q25.3	protein_coding	8	1131	0.71	301	16508	1.82	1342	5	0.37	818	60.95	10	Cancer Gene Census
ENSG00000152894	PTPRK	protein tyrosine phosphatase receptor type K	6q22.33	protein_coding	8	1131	0.71	420	16508	2.54	1342	13	0.97	240	17.88	8	Cancer Gene Census
ENSG00000160271	RALGDS	ral guanine nucleotide dissociation stimulator	9q34.13, 9q34.2	protein_coding	8	1131	0.71	184	16508	1.11	1342	90	6.71	123	9.17	9	Cancer Gene Census
ENSG00000168036	CTNNB1	catenin beta 1	3p22.1	protein_coding	8	1131	0.71	548	16508	3.32	1342	48	3.58	88	6.56	8	Cancer Gene Census
ENSG00000168769	TET2	tet methylcytosine dioxygenase 2	4q24	protein_coding	8	1131	0.71	335	16508	2.03	1342	23	1.71	119	8.87	10	Cancer Gene Census
ENSG00000169862	CTNND2	catenin delta 2	5p15.2	protein_coding	8	1131	0.71	677	16508	4.10	1342	52	3.87	79	5.89	9	Cancer Gene Census
ENSG00000171094	ALK	ALK receptor tyrosine kinase	2p23.2, 2p23.1	protein_coding	8	1131	0.71	491	16508	2.97	1342	38	2.83	46	3.43	11	Cancer Gene Census
ENSG00000182511	FES	FES proto-oncogene, tyrosine kinase	15q26.1	protein_coding	8	1131	0.71	163	16508	0.99	1342	33	2.46	144	10.73	7	Cancer Gene Census
ENSG00000182578	CSF1R	colony stimulating factor 1 receptor	5q32	protein_coding	8	1131	0.71	247	16508	1.50	1342	45	3.35	81	6.04	14	Cancer Gene Census
ENSG00000187741	FANCA	FA complementation group A	16q24.3	protein_coding	8	1131	0.71	257	16508	1.56	1342	14	1.04	52	3.87	10	Cancer Gene Census
ENSG00000196531	NACA	nascent polypeptide associated complex subunit alpha	12q13.3	protein_coding	8	1131	0.71	341	16508	2.07	1342	66	4.92	103	7.68	9	Cancer Gene Census
ENSG00000196588	MRTFA	myocardin related transcription factor A	22q13.1, 22q13.2	protein_coding	8	1131	0.71	205	16508	1.24	1342	27	2.01	293	21.83	9	Cancer Gene Census
ENSG00000197299	BLM	BLM RecQ like helicase	15q26.1	protein_coding	8	1131	0.71	261	16508	1.58	1342	34	2.53	144	10.73	10	Cancer Gene Census
ENSG00000197535	MYO5A	myosin VA	15q21.2	protein_coding	8	1131	0.71	366	16508	2.22	1342	17	1.27	195	14.53	13	Cancer Gene Census
ENSG00000198400	NTRK1	neurotrophic receptor tyrosine kinase 1	1q23.1	protein_coding	8	1131	0.71	261	16508	1.58	1342	116	8.64	13	0.97	8	Cancer Gene Census
ENSG00000198604	BAZ1A	bromodomain adjacent to zinc finger domain 1A	14q13.1, 14q13.2	protein_coding	8	1131	0.71	270	16508	1.64	1342	19	1.42	275	20.49	9	Cancer Gene Census
ENSG00000275023	MLLT6	MLLT6, PHD finger containing	17q12	protein_coding	8	1131	0.71	212	16508	1.28	1342	34	2.53	83	6.18	11	Cancer Gene Census
ENSG00000051382	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	3q22.3	protein_coding	7	1131	0.62	241	16508	1.46	1342	50	3.73	66	4.92	8	Cancer Gene Census
ENSG00000054118	THRAP3	thyroid hormone receptor associated protein 3	1p34.3	protein_coding	7	1131	0.62	230	16508	1.39	1342	67	4.99	219	16.32	10	Cancer Gene Census
ENSG00000057657	PRDM1	PR/SET domain 1	6q21	protein_coding	7	1131	0.62	272	16508	1.65	1342	12	0.89	210	15.65	8	Cancer Gene Census
ENSG00000070371	CLTCL1	clathrin heavy chain like 1	22q11.21	protein_coding	7	1131	0.62	315	16508	1.91	1342	30	2.24	246	18.33	9	Cancer Gene Census
ENSG00000074964	ARHGEF10L	Rho guanine nucleotide exchange factor 10 like	1p36.13	protein_coding	7	1131	0.62	276	16508	1.67	1342	61	4.55	253	18.85	11	Cancer Gene Census
ENSG00000087460	GNAS	GNAS complex locus	20q13.32	protein_coding	7	1131	0.62	369	16508	2.24	1342	286	21.31	21	1.56	9	Cancer Gene Census
ENSG00000089280	FUS	FUS RNA binding protein	16p11.2	protein_coding	7	1131	0.62	141	16508	0.85	1342	28	2.09	71	5.29	7	Cancer Gene Census
ENSG00000096384	HSP90AB1	heat shock protein 90 alpha family class B member 1	6p21.1	protein_coding	7	1131	0.62	201	16508	1.22	1342	23	1.71	76	5.66	8	Cancer Gene Census
ENSG00000102034	ELF4	E74 like ETS transcription factor 4	Xq26.1	protein_coding	7	1131	0.62	175	16508	1.06	1342	0	0.00	0	0.00	8	Cancer Gene Census
ENSG00000105639	JAK3	Janus kinase 3	19p13.11	protein_coding	7	1131	0.62	281	16508	1.70	1342	304	22.65	26	1.94	7	Cancer Gene Census
ENSG00000105662	CRTC1	CREB regulated transcription coactivator 1	19p13.11	protein_coding	7	1131	0.62	158	16508	0.96	1342	315	23.47	27	2.01	7	Cancer Gene Census
ENSG00000110713	NUP98	nucleoporin 98 and 96 precursor	11p15.4	protein_coding	7	1131	0.62	327	16508	1.98	1342	33	2.46	197	14.68	12	Cancer Gene Census
ENSG00000114861	FOXP1	forkhead box P1	3p13	protein_coding	7	1131	0.62	282	16508	1.71	1342	42	3.13	84	6.26	8	Cancer Gene Census
ENSG00000118513	MYB	MYB proto-oncogene, transcription factor	6q23.3	protein_coding	7	1131	0.62	209	16508	1.27	1342	12	0.89	250	18.63	8	Cancer Gene Census
ENSG00000119535	CSF3R	colony stimulating factor 3 receptor	1p34.3	protein_coding	7	1131	0.62	243	16508	1.47	1342	66	4.92	215	16.02	7	Cancer Gene Census
ENSG00000121989	ACVR2A	activin A receptor type 2A	2q22.3, 2q23.1	protein_coding	7	1131	0.62	377	16508	2.28	1342	31	2.31	37	2.76	7	Cancer Gene Census
ENSG00000129152	MYOD1	myogenic differentiation 1	11p15.1	protein_coding	7	1131	0.62	126	16508	0.76	1342	35	2.61	149	11.10	8	Cancer Gene Census
ENSG00000133895	MEN1	menin 1	11q13.1	protein_coding	7	1131	0.62	163	16508	0.99	1342	41	3.06	89	6.63	8	Cancer Gene Census
ENSG00000134982	APC	APC regulator of WNT signaling pathway	5q22.2	protein_coding	7	1131	0.62	1082	16508	6.55	1342	48	3.58	66	4.92	13	Cancer Gene Census
ENSG00000135605	TEC	transient erythroblastopenia of childhood	4p12, 4p11	protein_coding	7	1131	0.62	146	16508	0.88	1342	25	1.86	77	5.74	9	Cancer Gene Census
ENSG00000136352	NKX2-1	NK2 homeobox 1	14q13.3	protein_coding	7	1131	0.62	106	16508	0.64	1342	16	1.19	271	20.19	7	Cancer Gene Census
ENSG00000138376	BARD1	BRCA1 associated RING domain 1	2q35	protein_coding	7	1131	0.62	194	16508	1.18	1342	33	2.46	44	3.28	8	Cancer Gene Census
ENSG00000140521	POLG	DNA polymerase gamma, catalytic subunit	15q26.1	protein_coding	7	1131	0.62	226	16508	1.37	1342	28	2.09	133	9.91	7	Cancer Gene Census
ENSG00000140538	NTRK3	neurotrophic receptor tyrosine kinase 3	15q25.3	protein_coding	7	1131	0.62	506	16508	3.07	1342	23	1.71	130	9.69	11	Cancer Gene Census
ENSG00000143294	PRCC	proline rich mitotic checkpoint control factor	1q23.1	protein_coding	7	1131	0.62	117	16508	0.71	1342	118	8.79	13	0.97	2	Cancer Gene Census
ENSG00000143379	SETDB1	SET domain bifurcated histone lysine methyltransferase 1	1q21.3	protein_coding	7	1131	0.62	297	16508	1.80	1342	108	8.05	14	1.04	7	Cancer Gene Census
ENSG00000147862	NFIB	nuclear factor I B	9p23, 9p22.3	protein_coding	7	1131	0.62	164	16508	0.99	1342	46	3.43	472	35.17	8	Cancer Gene Census
ENSG00000168685	IL7R	interleukin 7 receptor	5p13.2	protein_coding	7	1131	0.62	328	16508	1.99	1342	53	3.95	59	4.40	7	Cancer Gene Census
ENSG00000169249	ZRSR2	zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2	Xp22.2	protein_coding	7	1131	0.62	91	16508	0.55	1342	0	0.00	0	0.00	7	Cancer Gene Census
ENSG00000173674	EIF1AX	eukaryotic translation initiation factor 1A X-linked	Xp22.12	protein_coding	7	1131	0.62	81	16508	0.49	1342	0	0.00	0	0.00	7	Cancer Gene Census
ENSG00000182197	EXT1	exostosin glycosyltransferase 1	8q24.11	protein_coding	7	1131	0.62	215	16508	1.30	1342	129	9.61	50	3.73	7	Cancer Gene Census
ENSG00000182866	LCK	LCK proto-oncogene, Src family tyrosine kinase	1p35.2	protein_coding	7	1131	0.62	167	16508	1.01	1342	66	4.92	220	16.39	8	Cancer Gene Census
ENSG00000182872	RBM10	RNA binding motif protein 10	Xp11.3	protein_coding	7	1131	0.62	316	16508	1.91	1342	0	0.00	0	0.00	9	Cancer Gene Census
ENSG00000186575	NF2	neurofibromin 2	22q12.2	protein_coding	7	1131	0.62	198	16508	1.20	1342	31	2.31	265	19.75	9	Cancer Gene Census
ENSG00000186716	BCR	BCR activator of RhoGEF and GTPase	22q11.23	protein_coding	7	1131	0.62	275	16508	1.67	1342	30	2.24	252	18.78	8	Cancer Gene Census
ENSG00000204843	DCTN1	dynactin subunit 1	2p13.1	protein_coding	7	1131	0.62	275	16508	1.67	1342	30	2.24	42	3.13	8	Cancer Gene Census
ENSG00000215301	DDX3X	DEAD-box helicase 3 X-linked	Xp11.4	protein_coding	7	1131	0.62	309	16508	1.87	1342	0	0.00	0	0.00	7	Cancer Gene Census
ENSG00000023445	BIRC3	baculoviral IAP repeat containing 3	11q22.2	protein_coding	6	1131	0.53	151	16508	0.91	1342	58	4.32	85	6.33	6	Cancer Gene Census
ENSG00000029363	BCLAF1	BCL2 associated transcription factor 1	6q23.3	protein_coding	6	1131	0.53	242	16508	1.47	1342	13	0.97	248	18.48	10	Cancer Gene Census
ENSG00000040731	CDH10	cadherin 10	5p14.2, 5p14.1	protein_coding	6	1131	0.53	736	16508	4.46	1342	50	3.73	72	5.37	7	Cancer Gene Census
ENSG00000062822	POLD1	DNA polymerase delta 1, catalytic subunit	19q13.33	protein_coding	6	1131	0.53	252	16508	1.53	1342	221	16.47	348	25.93	6	Cancer Gene Census
ENSG00000066468	FGFR2	fibroblast growth factor receptor 2	10q26.13	protein_coding	6	1131	0.53	376	16508	2.28	1342	3	0.22	826	61.55	7	Cancer Gene Census
ENSG00000071564	TCF3	transcription factor 3	19p13.3	protein_coding	6	1131	0.53	139	16508	0.84	1342	325	24.22	34	2.53	6	Cancer Gene Census
ENSG00000073792	IGF2BP2	insulin like growth factor 2 mRNA binding protein 2	3q27.2	protein_coding	6	1131	0.53	185	16508	1.12	1342	83	6.18	55	4.10	6	Cancer Gene Census
ENSG00000077782	FGFR1	fibroblast growth factor receptor 1	8p11.23	protein_coding	6	1131	0.53	234	16508	1.42	1342	58	4.32	70	5.22	6	Cancer Gene Census
ENSG00000078061	ARAF	A-Raf proto-oncogene, serine/threonine kinase	Xp11.3	protein_coding	6	1131	0.53	179	16508	1.08	1342	0	0.00	0	0.00	6	Cancer Gene Census
ENSG00000078674	PCM1	pericentriolar material 1	8p22	protein_coding	6	1131	0.53	231	16508	1.40	1342	56	4.17	87	6.48	12	Cancer Gene Census
ENSG00000082805	ERC1	ELKS/RAB6-interacting/CAST family member 1	12p13.33	protein_coding	6	1131	0.53	229	16508	1.39	1342	125	9.31	51	3.80	6	Cancer Gene Census
ENSG00000084676	NCOA1	nuclear receptor coactivator 1	2p23.3	protein_coding	6	1131	0.53	288	16508	1.74	1342	39	2.91	58	4.32	7	Cancer Gene Census
ENSG00000100030	MAPK1	mitogen-activated protein kinase 1	22q11.22	protein_coding	6	1131	0.53	94	16508	0.57	1342	39	2.91	246	18.33	6	Cancer Gene Census
ENSG00000103126	AXIN1	axin 1	16p13.3	protein_coding	6	1131	0.53	244	16508	1.48	1342	18	1.34	53	3.95	6	Cancer Gene Census
ENSG00000104419	NDRG1	N-myc downstream regulated 1	8q24.22	protein_coding	6	1131	0.53	120	16508	0.73	1342	128	9.54	53	3.95	7	Cancer Gene Census
ENSG00000106462	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit	7q36.1	protein_coding	6	1131	0.53	223	16508	1.35	1342	788	58.72	14	1.04	8	Cancer Gene Census
ENSG00000107929	LARP4B	La ribonucleoprotein 4B	10p15.3	protein_coding	6	1131	0.53	268	16508	1.62	1342	90	6.71	708	52.76	10	Cancer Gene Census
ENSG00000108654	DDX5	DEAD-box helicase 5	17q23.3	protein_coding	6	1131	0.53	164	16508	0.99	1342	73	5.44	36	2.68	4	Cancer Gene Census
ENSG00000110395	CBL	Cbl proto-oncogene	11q23.3	protein_coding	6	1131	0.53	206	16508	1.25	1342	77	5.74	77	5.74	6	Cancer Gene Census
ENSG00000111276	CDKN1B	cyclin dependent kinase inhibitor 1B	12p13.1	protein_coding	6	1131	0.53	125	16508	0.76	1342	82	6.11	92	6.86	6	Cancer Gene Census
ENSG00000117400	MPL	MPL proto-oncogene, thrombopoietin receptor	1p34.2	protein_coding	6	1131	0.53	148	16508	0.90	1342	66	4.92	204	15.20	7	Cancer Gene Census
ENSG00000118007	STAG1	stromal antigen 1	3q22.3	protein_coding	6	1131	0.53	297	16508	1.80	1342	47	3.50	73	5.44	9	Cancer Gene Census
ENSG00000119397	CNTRL	centriolin	9q33.2	protein_coding	6	1131	0.53	351	16508	2.13	1342	82	6.11	107	7.97	7	Cancer Gene Census
ENSG00000122642	FKBP9	FKBP prolyl isomerase 9	7p14.3	protein_coding	6	1131	0.53	153	16508	0.93	1342	724	53.95	3	0.22	6	Cancer Gene Census
ENSG00000125618	PAX8	paired box 8	2q14.1	protein_coding	6	1131	0.53	139	16508	0.84	1342	13	0.97	21	1.56	7	Cancer Gene Census
ENSG00000130844	ZNF331	zinc finger protein 331	19q13.42	protein_coding	6	1131	0.53	208	16508	1.26	1342	231	17.21	353	26.30	6	Cancer Gene Census
ENSG00000131653	TRAF7	TNF receptor associated factor 7	16p13.3	protein_coding	6	1131	0.53	152	16508	0.92	1342	40	2.98	74	5.51	6	Cancer Gene Census
ENSG00000134323	MYCN	MYCN proto-oncogene, bHLH transcription factor	2p24.3	protein_coding	6	1131	0.53	180	16508	1.09	1342	61	4.55	44	3.28	5	Cancer Gene Census
ENSG00000134371	CDC73	cell division cycle 73	1q31.2	protein_coding	6	1131	0.53	183	16508	1.11	1342	93	6.93	22	1.64	7	Cancer Gene Census
ENSG00000136014	USP44	ubiquitin specific peptidase 44	12q22	protein_coding	6	1131	0.53	153	16508	0.93	1342	49	3.65	84	6.26	7	Cancer Gene Census
ENSG00000137193	PIM1	Pim-1 proto-oncogene, serine/threonine kinase	6p21.2	protein_coding	6	1131	0.53	106	16508	0.64	1342	23	1.71	73	5.44	13	Cancer Gene Census
