"gene_id","symbol","name","cytoband","type","num_cohort_ssm_affected_cases","num_cohort_ssm_cases","cohort_ssm_affected_cases_percentage","num_gdc_ssm_affected_cases","num_gdc_ssm_cases","gdc_ssm_affected_cases_percentage","num_cohort_cnv_cases","num_cohort_cnv_gain_cases","cohort_cnv_gain_cases_percentage","num_cohort_cnv_loss_cases","cohort_cnv_loss_cases_percentage","num_mutations","annotations","SSM_Affected_Cases_in_Cohort","CNV_Gain","CNV_Loss","SSM_Affected_Cases_Across_the_GDC"
"ENSG00000118058","KMT2A","lysine methyltransferase 2A","11q23.3","protein_coding",14,1131,1.24,686,16508,4.16,1342,81,6.04,77,5.74,24,"Cancer Gene Census","14 / 1131 (1.24%)","81 / 1342 (6.04%)","77 / 1342 (5.74%)","686 / 16508 (4.16%)"
"ENSG00000133124","IRS4","insulin receptor substrate 4","Xq22.3","protein_coding",14,1131,1.24,459,16508,2.78,1342,0,0,0,0,12,"Cancer Gene Census","14 / 1131 (1.24%)","0 / 1342 (0%)","0 / 1342 (0%)","459 / 16508 (2.78%)"
"ENSG00000135333","EPHA7","EPH receptor A7","6q16.1","protein_coding",14,1131,1.24,422,16508,2.56,1342,12,0.89,199,14.83,16,"Cancer Gene Census","14 / 1131 (1.24%)","12 / 1342 (0.89%)","199 / 1342 (14.83%)","422 / 16508 (2.56%)"
"ENSG00000140836","ZFHX3","zinc finger homeobox 3","16q22.2, 16q22.3","protein_coding",14,1131,1.24,838,16508,5.08,1342,28,2.09,111,8.27,25,"Cancer Gene Census","14 / 1131 (1.24%)","28 / 1342 (2.09%)","111 / 1342 (8.27%)","838 / 16508 (5.08%)"
"ENSG00000141027","NCOR1","nuclear receptor corepressor 1","17p12, 17p11.2","protein_coding",14,1131,1.24,538,16508,3.26,1342,25,1.86,84,6.26,23,"Cancer Gene Census","14 / 1131 (1.24%)","25 / 1342 (1.86%)","84 / 1342 (6.26%)","538 / 16508 (3.26%)"
"ENSG00000141968","VAV1","vav guanine nucleotide exchange factor 1","19p13.3","protein_coding",14,1131,1.24,277,16508,1.68,1342,296,22.06,32,2.38,16,"Cancer Gene Census","14 / 1131 (1.24%)","296 / 1342 (22.06%)","32 / 1342 (2.38%)","277 / 16508 (1.68%)"
"ENSG00000156650","KAT6B","lysine acetyltransferase 6B","10q22.2","protein_coding",14,1131,1.24,349,16508,2.11,1342,5,0.37,754,56.18,21,"Cancer Gene Census","14 / 1131 (1.24%)","5 / 1342 (0.37%)","754 / 1342 (56.18%)","349 / 16508 (2.11%)"
"ENSG00000169083","AR","androgen receptor","Xq12","protein_coding",14,1131,1.24,343,16508,2.08,1342,0,0,0,0,14,"Cancer Gene Census","14 / 1131 (1.24%)","0 / 1342 (0%)","0 / 1342 (0%)","343 / 16508 (2.08%)"
"ENSG00000172915","NBEA","neurobeachin","13q13.3","protein_coding",14,1131,1.24,704,16508,4.26,1342,14,1.04,340,25.34,17,"Cancer Gene Census","14 / 1131 (1.24%)","14 / 1342 (1.04%)","340 / 1342 (25.34%)","704 / 16508 (4.26%)"
"ENSG00000041982","TNC","tenascin C","9q33.1","protein_coding",13,1131,1.15,528,16508,3.2,1342,82,6.11,102,7.6,24,"Cancer Gene Census","13 / 1131 (1.15%)","82 / 1342 (6.11%)","102 / 1342 (7.6%)","528 / 16508 (3.2%)"
"ENSG00000047410","TPR","translocated promoter region, nuclear basket protein","1q31.1","protein_coding",13,1131,1.15,464,16508,2.81,1342,91,6.78,22,1.64,20,"Cancer Gene Census","13 / 1131 (1.15%)","91 / 1342 (6.78%)","22 / 1342 (1.64%)","464 / 16508 (2.81%)"
"ENSG00000066032","CTNNA2","catenin alpha 2","2p12","protein_coding",13,1131,1.15,670,16508,4.06,1342,28,2.09,38,2.83,13,"Cancer Gene Census","13 / 1131 (1.15%)","28 / 1342 (2.09%)","38 / 1342 (2.83%)","670 / 16508 (4.06%)"
"ENSG00000073282","TP63","tumor protein p63","3q28","protein_coding",13,1131,1.15,402,16508,2.44,1342,67,4.99,91,6.78,14,"Cancer Gene Census","13 / 1131 (1.15%)","67 / 1342 (4.99%)","91 / 1342 (6.78%)","402 / 16508 (2.44%)"
"ENSG00000105976","MET","MET proto-oncogene, receptor tyrosine kinase","7q31.2","protein_coding",13,1131,1.15,350,16508,2.12,1342,787,58.64,4,0.3,21,"Cancer Gene Census","13 / 1131 (1.15%)","787 / 1342 (58.64%)","4 / 1342 (0.3%)","350 / 16508 (2.12%)"
"ENSG00000110844","PRPF40B","pre-mRNA processing factor 40 homolog B","12q13.12","protein_coding",13,1131,1.15,201,16508,1.22,1342,54,4.02,109,8.12,12,"Cancer Gene Census","13 / 1131 (1.15%)","54 / 1342 (4.02%)","109 / 1342 (8.12%)","201 / 16508 (1.22%)"
"ENSG00000112531","QKI","QKI, KH domain containing RNA binding","6q26","protein_coding",13,1131,1.15,193,16508,1.17,1342,18,1.34,289,21.54,12,"Cancer Gene Census","13 / 1131 (1.15%)","18 / 1342 (1.34%)","289 / 1342 (21.54%)","193 / 16508 (1.17%)"
"ENSG00000122025","FLT3","fms related receptor tyrosine kinase 3","13q12.2","protein_coding",13,1131,1.15,440,16508,2.67,1342,16,1.19,319,23.77,15,"Cancer Gene Census","13 / 1131 (1.15%)","16 / 1342 (1.19%)","319 / 1342 (23.77%)","440 / 16508 (2.67%)"
"ENSG00000123080","CDKN2C","cyclin dependent kinase inhibitor 2C","1p32.3","protein_coding",13,1131,1.15,57,16508,0.35,1342,59,4.4,266,19.82,13,"Cancer Gene Census","13 / 1131 (1.15%)","59 / 1342 (4.4%)","266 / 1342 (19.82%)","57 / 16508 (0.35%)"
"ENSG00000129204","USP6","ubiquitin specific peptidase 6","17p13.2","protein_coding",13,1131,1.15,348,16508,2.11,1342,18,1.34,96,7.15,17,"Cancer Gene Census","13 / 1131 (1.15%)","18 / 1342 (1.34%)","96 / 1342 (7.15%)","348 / 16508 (2.11%)"
"ENSG00000144554","FANCD2","FA complementation group D2","3p25.3","protein_coding",13,1131,1.15,272,16508,1.65,1342,66,4.92,69,5.14,17,"Cancer Gene Census","13 / 1131 (1.15%)","66 / 1342 (4.92%)","69 / 1342 (5.14%)","272 / 16508 (1.65%)"
"ENSG00000148584","A1CF","APOBEC1 complementation factor","10q11.23","protein_coding",13,1131,1.15,262,16508,1.59,1342,8,0.6,714,53.2,14,"Cancer Gene Census","13 / 1131 (1.15%)","8 / 1342 (0.6%)","714 / 1342 (53.2%)","262 / 16508 (1.59%)"
"ENSG00000152217","SETBP1","SET binding protein 1","18q12.3","protein_coding",13,1131,1.15,534,16508,3.23,1342,56,4.17,117,8.72,15,"Cancer Gene Census","13 / 1131 (1.15%)","56 / 1342 (4.17%)","117 / 1342 (8.72%)","534 / 16508 (3.23%)"
"ENSG00000157554","ERG","ETS transcription factor ERG","21q22.2","protein_coding",13,1131,1.15,217,16508,1.31,1342,60,4.47,73,5.44,13,"Cancer Gene Census","13 / 1131 (1.15%)","60 / 1342 (4.47%)","73 / 1342 (5.44%)","217 / 16508 (1.31%)"
"ENSG00000159216","RUNX1","RUNX family transcription factor 1","21q22.12","protein_coding",13,1131,1.15,271,16508,1.64,1342,63,4.69,70,5.22,15,"Cancer Gene Census","13 / 1131 (1.15%)","63 / 1342 (4.69%)","70 / 1342 (5.22%)","271 / 16508 (1.64%)"
"ENSG00000171456","ASXL1","ASXL transcriptional regulator 1","20q11.21","protein_coding",13,1131,1.15,405,16508,2.45,1342,280,20.86,12,0.89,15,"Cancer Gene Census","13 / 1131 (1.15%)","280 / 1342 (20.86%)","12 / 1342 (0.89%)","405 / 16508 (2.45%)"
"ENSG00000171735","CAMTA1","calmodulin binding transcription activator 1","1p36.31, 1p36.23","protein_coding",13,1131,1.15,482,16508,2.92,1342,48,3.58,378,28.17,20,"Cancer Gene Census","13 / 1131 (1.15%)","48 / 1342 (3.58%)","378 / 1342 (28.17%)","482 / 16508 (2.92%)"
"ENSG00000175054","ATR","ATR serine/threonine kinase","3q23","protein_coding",13,1131,1.15,496,16508,3,1342,52,3.87,66,4.92,20,"Cancer Gene Census","13 / 1131 (1.15%)","52 / 1342 (3.87%)","66 / 1342 (4.92%)","496 / 16508 (3%)"
"ENSG00000257923","CUX1","cut like homeobox 1","7q22.1","protein_coding",13,1131,1.15,491,16508,2.97,1342,775,57.75,6,0.45,17,"Cancer Gene Census","13 / 1131 (1.15%)","775 / 1342 (57.75%)","6 / 1342 (0.45%)","491 / 16508 (2.97%)"
"ENSG00000067842","ATP2B3","ATPase plasma membrane Ca2+ transporting 3","Xq28","protein_coding",12,1131,1.06,429,16508,2.6,1342,0,0,0,0,15,"Cancer Gene Census","12 / 1131 (1.06%)","0 / 1342 (0%)","0 / 1342 (0%)","429 / 16508 (2.6%)"
"ENSG00000068323","TFE3","transcription factor binding to IGHM enhancer 3","Xp11.23","protein_coding",12,1131,1.06,203,16508,1.23,1342,0,0,0,0,6,"Cancer Gene Census","12 / 1131 (1.06%)","0 / 1342 (0%)","0 / 1342 (0%)","203 / 16508 (1.23%)"
"ENSG00000100697","DICER1","dicer 1, ribonuclease III","14q32.13","protein_coding",12,1131,1.06,386,16508,2.34,1342,10,0.75,290,21.61,19,"Cancer Gene Census","12 / 1131 (1.06%)","10 / 1342 (0.75%)","290 / 1342 (21.61%)","386 / 16508 (2.34%)"
"ENSG00000111642","CHD4","chromodomain helicase DNA binding protein 4","12p13.31","protein_coding",12,1131,1.06,556,16508,3.37,1342,133,9.91,49,3.65,14,"Cancer Gene Census","12 / 1131 (1.06%)","133 / 1342 (9.91%)","49 / 1342 (3.65%)","556 / 16508 (3.37%)"
"ENSG00000112175","BMP5","bone morphogenetic protein 5","6p12.1","protein_coding",12,1131,1.06,262,16508,1.59,1342,18,1.34,83,6.18,15,"Cancer Gene Census","12 / 1131 (1.06%)","18 / 1342 (1.34%)","83 / 1342 (6.18%)","262 / 16508 (1.59%)"
"ENSG00000140464","PML","PML nuclear body scaffold","15q24.1","protein_coding",12,1131,1.06,263,16508,1.59,1342,21,1.56,153,11.4,14,"Cancer Gene Census","12 / 1131 (1.06%)","21 / 1342 (1.56%)","153 / 1342 (11.4%)","263 / 16508 (1.59%)"
"ENSG00000153201","RANBP2","RAN binding protein 2","2q13","protein_coding",12,1131,1.06,533,16508,3.23,1342,28,2.09,40,2.98,13,"Cancer Gene Census","12 / 1131 (1.06%)","28 / 1342 (2.09%)","40 / 1342 (2.98%)","533 / 16508 (3.23%)"
"ENSG00000173821","RNF213","ring finger protein 213","17q25.3","protein_coding",12,1131,1.06,759,16508,4.6,1342,76,5.66,52,3.87,19,"Cancer Gene Census","12 / 1131 (1.06%)","76 / 1342 (5.66%)","52 / 1342 (3.87%)","759 / 16508 (4.6%)"
"ENSG00000185920","PTCH1","patched 1","9q22.32","protein_coding",12,1131,1.06,388,16508,2.35,1342,79,5.89,99,7.38,14,"Cancer Gene Census","12 / 1131 (1.06%)","79 / 1342 (5.89%)","99 / 1342 (7.38%)","388 / 16508 (2.35%)"
"ENSG00000103522","IL21R","interleukin 21 receptor","16p12.1","protein_coding",11,1131,0.97,241,16508,1.46,1342,27,2.01,83,6.18,13,"Cancer Gene Census","11 / 1131 (0.97%)","27 / 1342 (2.01%)","83 / 1342 (6.18%)","241 / 16508 (1.46%)"
"ENSG00000115524","SF3B1","splicing factor 3b subunit 1","2q33.1","protein_coding",11,1131,0.97,366,16508,2.22,1342,31,2.31,38,2.83,13,"Cancer Gene Census","11 / 1131 (0.97%)","31 / 1342 (2.31%)","38 / 1342 (2.83%)","366 / 16508 (2.22%)"
"ENSG00000115760","BIRC6","baculoviral IAP repeat containing 6","2p22.3","protein_coding",11,1131,0.97,760,16508,4.6,1342,38,2.83,46,3.43,24,"Cancer Gene Census","11 / 1131 (0.97%)","38 / 1342 (2.83%)","46 / 1342 (3.43%)","760 / 16508 (4.6%)"
"ENSG00000116128","BCL9","BCL9 transcription coactivator","1q21.2","protein_coding",11,1131,0.97,340,16508,2.06,1342,86,6.41,22,1.64,12,"Cancer Gene Census","11 / 1131 (0.97%)","86 / 1342 (6.41%)","22 / 1342 (1.64%)","340 / 16508 (2.06%)"
"ENSG00000121741","ZMYM2","zinc finger MYM-type containing 2","13q12.11","protein_coding",11,1131,0.97,290,16508,1.76,1342,21,1.56,296,22.06,15,"Cancer Gene Census","11 / 1131 (0.97%)","21 / 1342 (1.56%)","296 / 1342 (22.06%)","290 / 16508 (1.76%)"
"ENSG00000122778","KIAA1549","KIAA1549","7q34","protein_coding",11,1131,0.97,469,16508,2.84,1342,794,59.17,12,0.89,19,"Cancer Gene Census","11 / 1131 (0.97%)","794 / 1342 (59.17%)","12 / 1342 (0.89%)","469 / 16508 (2.84%)"
"ENSG00000135111","TBX3","T-box transcription factor 3","12q24.21","protein_coding",11,1131,0.97,282,16508,1.71,1342,56,4.17,73,5.44,11,"Cancer Gene Census","11 / 1131 (0.97%)","56 / 1342 (4.17%)","73 / 1342 (5.44%)","282 / 16508 (1.71%)"
"ENSG00000139263","LRIG3","leucine rich repeats and immunoglobulin like domains 3","12q14.1","protein_coding",11,1131,0.97,246,16508,1.49,1342,82,6.11,102,7.6,14,"Cancer Gene Census","11 / 1131 (0.97%)","82 / 1342 (6.11%)","102 / 1342 (7.6%)","246 / 16508 (1.49%)"
"ENSG00000140396","NCOA2","nuclear receptor coactivator 2","8q13.3","protein_coding",11,1131,0.97,308,16508,1.87,1342,75,5.59,54,4.02,11,"Cancer Gene Census","11 / 1131 (0.97%)","75 / 1342 (5.59%)","54 / 1342 (4.02%)","308 / 16508 (1.87%)"
"ENSG00000142611","PRDM16","PR/SET domain 16","1p36.32","protein_coding",11,1131,0.97,380,16508,2.3,1342,54,4.02,308,22.95,15,"Cancer Gene Census","11 / 1131 (0.97%)","54 / 1342 (4.02%)","308 / 1342 (22.95%)","380 / 16508 (2.3%)"
"ENSG00000147889","CDKN2A","cyclin dependent kinase inhibitor 2A","9p21.3","protein_coding",11,1131,0.97,578,16508,3.5,1342,27,2.01,749,55.81,10,"Cancer Gene Census","11 / 1131 (0.97%)","27 / 1342 (2.01%)","749 / 1342 (55.81%)","578 / 16508 (3.5%)"
"ENSG00000150457","LATS2","large tumor suppressor kinase 2","13q12.11","protein_coding",11,1131,0.97,260,16508,1.57,1342,18,1.34,304,22.65,13,"Cancer Gene Census","11 / 1131 (0.97%)","18 / 1342 (1.34%)","304 / 1342 (22.65%)","260 / 16508 (1.57%)"
"ENSG00000157168","NRG1","neuregulin 1","8p12","protein_coding",11,1131,0.97,449,16508,2.72,1342,55,4.1,77,5.74,15,"Cancer Gene Census","11 / 1131 (0.97%)","55 / 1342 (4.1%)","77 / 1342 (5.74%)","449 / 16508 (2.72%)"
"ENSG00000157765","SLC34A2","solute carrier family 34 member 2","4p15.2","protein_coding",11,1131,0.97,258,16508,1.56,1342,26,1.94,85,6.33,12,"Cancer Gene Census","11 / 1131 (0.97%)","26 / 1342 (1.94%)","85 / 1342 (6.33%)","258 / 16508 (1.56%)"
"ENSG00000160867","FGFR4","fibroblast growth factor receptor 4","5q35.2","protein_coding",11,1131,0.97,236,16508,1.43,1342,56,4.17,86,6.41,12,"Cancer Gene Census","11 / 1131 (0.97%)","56 / 1342 (4.17%)","86 / 1342 (6.41%)","236 / 16508 (1.43%)"
"ENSG00000164330","EBF1","EBF transcription factor 1","5q33.3","protein_coding",11,1131,0.97,269,16508,1.63,1342,43,3.2,93,6.93,11,"Cancer Gene Census","11 / 1131 (0.97%)","43 / 1342 (3.2%)","93 / 1342 (6.93%)","269 / 16508 (1.63%)"
"ENSG00000165699","TSC1","TSC complex subunit 1","9q34.13","protein_coding",11,1131,0.97,273,16508,1.65,1342,89,6.63,124,9.24,12,"Cancer Gene Census","11 / 1131 (0.97%)","89 / 1342 (6.63%)","124 / 1342 (9.24%)","273 / 16508 (1.65%)"
"ENSG00000165731","RET","ret proto-oncogene","10q11.21","protein_coding",11,1131,0.97,365,16508,2.21,1342,14,1.04,713,53.13,14,"Cancer Gene Census","11 / 1131 (0.97%)","14 / 1342 (1.04%)","713 / 1342 (53.13%)","365 / 16508 (2.21%)"
"ENSG00000167258","CDK12","cyclin dependent kinase 12","17q12","protein_coding",11,1131,0.97,371,16508,2.25,1342,36,2.68,81,6.04,14,"Cancer Gene Census","11 / 1131 (0.97%)","36 / 1342 (2.68%)","81 / 1342 (6.04%)","371 / 16508 (2.25%)"
"ENSG00000173575","CHD2","chromodomain helicase DNA binding protein 2","15q26.1","protein_coding",11,1131,0.97,355,16508,2.15,1342,32,2.38,146,10.88,16,"Cancer Gene Census","11 / 1131 (0.97%)","32 / 1342 (2.38%)","146 / 1342 (10.88%)","355 / 16508 (2.15%)"
"ENSG00000183508","TENT5C","terminal nucleotidyltransferase 5C","1p12","protein_coding",11,1131,0.97,219,16508,1.33,1342,60,4.47,213,15.87,10,"Cancer Gene Census","11 / 1131 (0.97%)","60 / 1342 (4.47%)","213 / 1342 (15.87%)","219 / 16508 (1.33%)"
"ENSG00000185177","ZNF479","zinc finger protein 479","7p11.2","protein_coding",11,1131,0.97,389,16508,2.36,1342,708,52.76,6,0.45,13,"Cancer Gene Census","11 / 1131 (0.97%)","708 / 1342 (52.76%)","6 / 1342 (0.45%)","389 / 16508 (2.36%)"
"ENSG00000198795","ZNF521","zinc finger protein 521","18q11.2","protein_coding",11,1131,0.97,537,16508,3.25,1342,61,4.55,104,7.75,15,"Cancer Gene Census","11 / 1131 (0.97%)","61 / 1342 (4.55%)","104 / 1342 (7.75%)","537 / 16508 (3.25%)"
"ENSG00000010671","BTK","Bruton tyrosine kinase","Xq22.1","protein_coding",10,1131,0.88,243,16508,1.47,1342,0,0,0,0,11,"Cancer Gene Census","10 / 1131 (0.88%)","0 / 1342 (0%)","0 / 1342 (0%)","243 / 16508 (1.47%)"
"ENSG00000039068","CDH1","cadherin 1","16q22.1","protein_coding",10,1131,0.88,406,16508,2.46,1342,32,2.38,103,7.68,15,"Cancer Gene Census","10 / 1131 (0.88%)","32 / 1342 (2.38%)","103 / 1342 (7.68%)","406 / 16508 (2.46%)"
"ENSG00000073614","KDM5A","lysine demethylase 5A","12p13.33","protein_coding",10,1131,0.88,360,16508,2.18,1342,56,4.17,24,1.79,12,"Cancer Gene Census","10 / 1131 (0.88%)","56 / 1342 (4.17%)","24 / 1342 (1.79%)","360 / 16508 (2.18%)"
"ENSG00000078177","N4BP2","NEDD4 binding protein 2","4p14","protein_coding",10,1131,0.88,305,16508,1.85,1342,32,2.38,86,6.41,10,"Cancer Gene Census","10 / 1131 (0.88%)","32 / 1342 (2.38%)","86 / 1342 (6.41%)","305 / 16508 (1.85%)"
"ENSG00000100503","NIN","ninein","14q22.1","protein_coding",10,1131,0.88,385,16508,2.33,1342,14,1.04,262,19.52,12,"Cancer Gene Census","10 / 1131 (0.88%)","14 / 1342 (1.04%)","262 / 1342 (19.52%)","385 / 16508 (2.33%)"
"ENSG00000100852","ARHGAP5","Rho GTPase activating protein 5","14q12","protein_coding",10,1131,0.88,360,16508,2.18,1342,19,1.42,280,20.86,11,"Cancer Gene Census","10 / 1131 (0.88%)","19 / 1342 (1.42%)","280 / 1342 (20.86%)","360 / 16508 (2.18%)"
"ENSG00000109685","NSD2","nuclear receptor binding SET domain protein 2","4p16.3","protein_coding",10,1131,0.88,389,16508,2.36,1342,45,3.35,97,7.23,13,"Cancer Gene Census","10 / 1131 (0.88%)","45 / 1342 (3.35%)","97 / 1342 (7.23%)","389 / 16508 (2.36%)"
"ENSG00000122512","PMS2","PMS1 homolog 2, mismatch repair system component","7p22.1","protein_coding",10,1131,0.88,222,16508,1.34,1342,707,52.68,16,1.19,12,"Cancer Gene Census","10 / 1131 (0.88%)","707 / 1342 (52.68%)","16 / 1342 (1.19%)","222 / 16508 (1.34%)"
"ENSG00000125952","MAX","MYC associated factor X","14q23.3","protein_coding",10,1131,0.88,142,16508,0.86,1342,14,1.04,320,23.85,8,"Cancer Gene Census","10 / 1131 (0.88%)","14 / 1342 (1.04%)","320 / 1342 (23.85%)","142 / 16508 (0.86%)"
"ENSG00000126012","KDM5C","lysine demethylase 5C","Xp11.22","protein_coding",10,1131,0.88,387,16508,2.34,1342,0,0,0,0,14,"Cancer Gene Census","10 / 1131 (0.88%)","0 / 1342 (0%)","0 / 1342 (0%)","387 / 16508 (2.34%)"
"ENSG00000129514","FOXA1","forkhead box A1","14q21.1","protein_coding",10,1131,0.88,209,16508,1.27,1342,16,1.19,270,20.12,10,"Cancer Gene Census","10 / 1131 (0.88%)","16 / 1342 (1.19%)","270 / 1342 (20.12%)","209 / 16508 (1.27%)"
"ENSG00000129993","CBFA2T3","CBFA2/RUNX1 partner transcriptional co-repressor 3","16q24.3","protein_coding",10,1131,0.88,169,16508,1.02,1342,26,1.94,129,9.61,10,"Cancer Gene Census","10 / 1131 (0.88%)","26 / 1342 (1.94%)","129 / 1342 (9.61%)","169 / 16508 (1.02%)"
"ENSG00000130396","AFDN","afadin, adherens junction formation factor","6q27","protein_coding",10,1131,0.88,419,16508,2.54,1342,14,1.04,254,18.93,13,"Cancer Gene Census","10 / 1131 (0.88%)","14 / 1342 (1.04%)","254 / 1342 (18.93%)","419 / 16508 (2.54%)"
"ENSG00000130779","CLIP1","CAP-Gly domain containing linker protein 1","12q24.31","protein_coding",10,1131,0.88,266,16508,1.61,1342,65,4.84,65,4.84,15,"Cancer Gene Census","10 / 1131 (0.88%)","65 / 1342 (4.84%)","65 / 1342 (4.84%)","266 / 16508 (1.61%)"
"ENSG00000137265","IRF4","interferon regulatory factor 4","6p25.3","protein_coding",10,1131,0.88,208,16508,1.26,1342,13,0.97,55,4.1,10,"Cancer Gene Census","10 / 1131 (0.88%)","13 / 1342 (0.97%)","55 / 1342 (4.1%)","208 / 16508 (1.26%)"
"ENSG00000137497","NUMA1","nuclear mitotic apparatus protein 1","11q13.4","protein_coding",10,1131,0.88,358,16508,2.17,1342,49,3.65,84,6.26,14,"Cancer Gene Census","10 / 1131 (0.88%)","49 / 1342 (3.65%)","84 / 1342 (6.26%)","358 / 16508 (2.17%)"
"ENSG00000138336","TET1","tet methylcytosine dioxygenase 1","10q21.3","protein_coding",10,1131,0.88,452,16508,2.74,1342,6,0.45,763,56.86,12,"Cancer Gene Census","10 / 1131 (0.88%)","6 / 1342 (0.45%)","763 / 1342 (56.86%)","452 / 16508 (2.74%)"
"ENSG00000147548","NSD3","nuclear receptor binding SET domain protein 3","8p11.23","protein_coding",10,1131,0.88,297,16508,1.8,1342,58,4.32,70,5.22,17,"Cancer Gene Census","10 / 1131 (0.88%)","58 / 1342 (4.32%)","70 / 1342 (5.22%)","297 / 16508 (1.8%)"
"ENSG00000166501","PRKCB","protein kinase C beta","16p12.2, 16p12.1","protein_coding",10,1131,0.88,348,16508,2.11,1342,26,1.94,100,7.45,11,"Cancer Gene Census","10 / 1131 (0.88%)","26 / 1342 (1.94%)","100 / 1342 (7.45%)","348 / 16508 (2.11%)"
"ENSG00000170836","PPM1D","protein phosphatase, Mg2+/Mn2+ dependent 1D","17q23.2","protein_coding",10,1131,0.88,154,16508,0.93,1342,67,4.99,43,3.2,12,"Cancer Gene Census","10 / 1131 (0.88%)","67 / 1342 (4.99%)","43 / 1342 (3.2%)","154 / 16508 (0.93%)"
"ENSG00000178104","PDE4DIP","phosphodiesterase 4D interacting protein","1q21.2","protein_coding",10,1131,0.88,436,16508,2.64,1342,81,6.04,62,4.62,19,"Cancer Gene Census","10 / 1131 (0.88%)","81 / 1342 (6.04%)","62 / 1342 (4.62%)","436 / 16508 (2.64%)"
"ENSG00000178568","ERBB4","erb-b2 receptor tyrosine kinase 4","2q34","protein_coding",10,1131,0.88,673,16508,4.08,1342,32,2.38,44,3.28,12,"Cancer Gene Census","10 / 1131 (0.88%)","32 / 1342 (2.38%)","44 / 1342 (3.28%)","673 / 16508 (4.08%)"
"ENSG00000179094","PER1","period circadian regulator 1","17p13.1","protein_coding",10,1131,0.88,243,16508,1.47,1342,20,1.49,102,7.6,12,"Cancer Gene Census","10 / 1131 (0.88%)","20 / 1342 (1.49%)","102 / 1342 (7.6%)","243 / 16508 (1.47%)"
"ENSG00000179583","CIITA","class II major histocompatibility complex transactivator","16p13.13","protein_coding",10,1131,0.88,321,16508,1.94,1342,36,2.68,61,4.55,13,"Cancer Gene Census","10 / 1131 (0.88%)","36 / 1342 (2.68%)","61 / 1342 (4.55%)","321 / 16508 (1.94%)"
"ENSG00000183742","MACC1","MET transcriptional regulator MACC1","7p21.1","protein_coding",10,1131,0.88,234,16508,1.42,1342,714,53.2,8,0.6,10,"Cancer Gene Census","10 / 1131 (0.88%)","714 / 1342 (53.2%)","8 / 1342 (0.6%)","234 / 16508 (1.42%)"
"ENSG00000184507","NUTM1","NUT midline carcinoma family member 1","15q14","protein_coding",10,1131,0.88,311,16508,1.88,1342,16,1.19,215,16.02,14,"Cancer Gene Census","10 / 1131 (0.88%)","16 / 1342 (1.19%)","215 / 1342 (16.02%)","311 / 16508 (1.88%)"
"ENSG00000184675","AMER1","APC membrane recruitment protein 1","Xq11.2","protein_coding",10,1131,0.88,431,16508,2.61,1342,0,0,0,0,14,"Cancer Gene Census","10 / 1131 (0.88%)","0 / 1342 (0%)","0 / 1342 (0%)","431 / 16508 (2.61%)"
"ENSG00000196498","NCOR2","nuclear receptor corepressor 2","12q24.31","protein_coding",10,1131,0.88,514,16508,3.11,1342,63,4.69,67,4.99,16,"Cancer Gene Census","10 / 1131 (0.88%)","63 / 1342 (4.69%)","67 / 1342 (4.99%)","514 / 16508 (3.11%)"
"ENSG00000213281","NRAS","NRAS proto-oncogene, GTPase","1p13.2","protein_coding",10,1131,0.88,840,16508,5.09,1342,60,4.47,214,15.95,6,"Cancer Gene Census","10 / 1131 (0.88%)","60 / 1342 (4.47%)","214 / 1342 (15.95%)","840 / 16508 (5.09%)"
"ENSG00000012048","BRCA1","BRCA1 DNA repair associated","17q21.31","protein_coding",9,1131,0.8,367,16508,2.22,1342,41,3.06,70,5.22,13,"Cancer Gene Census","9 / 1131 (0.8%)","41 / 1342 (3.06%)","70 / 1342 (5.22%)","367 / 16508 (2.22%)"
"ENSG00000029725","RABEP1","rabaptin, RAB GTPase binding effector protein 1","17p13.2","protein_coding",9,1131,0.8,149,16508,0.9,1342,19,1.42,96,7.15,12,"Cancer Gene Census","9 / 1131 (0.8%)","19 / 1342 (1.42%)","96 / 1342 (7.15%)","149 / 16508 (0.9%)"
"ENSG00000065526","SPEN","spen family transcriptional repressor","1p36.21, 1p36.13","protein_coding",9,1131,0.8,629,16508,3.81,1342,64,4.77,254,18.93,18,"Cancer Gene Census","9 / 1131 (0.8%)","64 / 1342 (4.77%)","254 / 1342 (18.93%)","629 / 16508 (3.81%)"
"ENSG00000079805","DNM2","dynamin 2","19p13.2","protein_coding",9,1131,0.8,286,16508,1.73,1342,320,23.85,27,2.01,13,"Cancer Gene Census","9 / 1131 (0.8%)","320 / 1342 (23.85%)","27 / 1342 (2.01%)","286 / 16508 (1.73%)"
"ENSG00000091831","ESR1","estrogen receptor 1","6q25.1, 6q25.2","protein_coding",9,1131,0.8,228,16508,1.38,1342,13,0.97,240,17.88,8,"Cancer Gene Census","9 / 1131 (0.8%)","13 / 1342 (0.97%)","240 / 1342 (17.88%)","228 / 16508 (1.38%)"
"ENSG00000096968","JAK2","Janus kinase 2","9p24.1","protein_coding",9,1131,0.8,291,16508,1.76,1342,41,3.06,432,32.19,11,"Cancer Gene Census","9 / 1131 (0.8%)","41 / 1342 (3.06%)","432 / 1342 (32.19%)","291 / 16508 (1.76%)"
